Date,Year-Month,Year,Departure Location,Departure GPS,Arrival Location,Arrival GPS,Miles Between Locations,Total Miles Traveled,Total Km Traveled,Notes
1/15/1993,1993-01,1993,"Wichita, US","37.6922361,-97.3375448","Dallas, US","32.77288, -96.807952",340.47,340.47,547.81623,Disney World
1/15/1993,1993-01,1993,"Dallas, US","32.77288, -96.807952","Orlando, US","28.5421109,-81.3790304",960.63,1301.1,2093.4699,
1/22/1993,1993-01,1993,"Orlando, US","28.5421109,-81.3790304","Dallas, US","32.77288, -96.807952",960.63,2261.73,3639.12357,
1/22/1993,1993-01,1993,"Dallas, US","32.77288, -96.807952","Wichita, US","37.6922361,-97.3375448",340.47,2602.2,4186.9398,
2/15/1996,1996-02,1996,"Wichita, US","37.6922361,-97.3375448","Dallas, US","32.77288, -96.807952",340.47,2942.67,4734.75603,Cruise with Family
2/15/1996,1996-02,1996,"Dallas, US","32.77288, -96.807952","Miami, US","25.774173, -80.19362",1109.54,4052.21,6520.00589,
2/17/1996,1996-02,1996,"Miami, US","25.774173, -80.19362","Cozumel, MX","20.4320599,-86.9206906",562.25,4614.46,7424.66614,
2/22/1996,1996-02,1996,"Miami, US","25.774173, -80.19362","Denver, US","39.739236, -104.984862",2064,6678.46,10745.64214,
2/22/1996,1996-02,1996,"Denver, US","39.739236, -104.984862","Wichita, US","37.6922361,-97.3375448",435.92,7114.38,11447.03742,
6/2/2000,2000-06,2000,"Wichita, US","37.6922361,-97.3375448","Denver, US","39.739236, -104.984862",435.92,7550.3,12148.4327,Seattle Joel
6/2/2000,2000-06,2000,"Denver, US","39.739236, -104.984862","Seattle, US","47.6038321,-122.330062",1019.6,8569.9,13788.9691,
6/9/2000,2000-06,2000,"Seattle, US","47.6038321,-122.330062","Denver, US","39.739236, -104.984862",1019.6,9589.5,15429.5055,
6/9/2000,2000-06,2000,"Denver, US","39.739236, -104.984862","39.739236, -104.984862","37.6922361,-97.3375448",435.92,10025.42,16130.90078,
3/1/2005,2005-03,2005,"Kansas City, US","39.100105,-94.5781416","Austin, US","30.2711286,-97.7436995",636.29,10661.71,17154.69139,WMC Billy
3/1/2005,2005-03,2005,"Austin, US","30.2711286,-97.7436995","Jacksonville, US","30.3321838,-81.655651",959.09,11620.8,18697.8672,
3/4/2005,2005-03,2005,"Jacksonville, US","30.3321838,-81.655651","Miami, US","25.774173, -80.19362",326.92,11947.72,19223.88148,
